id,title,description,target_amount,current_amount,has_image,description_length,start_date,end_date,days_to_target
169f3587-e954-4328-8630-003de9853d38,Clean Water Project,Join us to support those in need.,29729.78,0.0,True,33,2025-04-16,2025-06-04,49
5fbafb93-5557-46ff-a286-b33accc3d52c,Clean Water Project,Support our mission to provide essential services.,18742.7,0.0,False,50,2025-04-16,2025-04-22,6
6aa42bb9-41a6-41af-aaf5-014fd4b6d0ed,Medical Aid,Your help can make a big difference.,72215.29,0.0,True,36,2025-04-16,2025-06-18,63
d1c54b9d-7690-40e3-ace4-ec8d6091e0da,Help the Kids,Your help can make a big difference.,76041.2,0.0,True,36,2025-04-16,2025-07-10,85
8be2e7cd-36a9-47a6-b2bc-c3e5e9eb6afc,Help the Kids,Support our mission to provide essential services.,75044.87,0.0,True,50,2025-04-16,2025-06-25,70
530f76e3-189d-4be6-bf0b-fde3100008da,Build a School,Join us to support those in need.,36365.0,0.0,True,33,2025-04-16,2025-05-21,35
58c6fefe-83d6-4987-96b2-2acaefb8c797,Clean Water Project,Together we can build a better future.,57459.32,0.0,False,38,2025-04-16,2025-04-29,13
f251d0e9-84b6-4502-82fa-321746cd9c6c,Clean Water Project,Every donation brings us closer to our goal.,89604.6,0.0,True,44,2025-04-16,2025-05-28,42
7ed433d1-3eff-4ef2-971b-6abb3b2cabfb,Clean Water Project,Support our mission to provide essential services.,64644.47,0.0,False,50,2025-04-16,2025-06-15,60
ac3b6755-21e7-4ebb-82f6-5a0b420186c0,Save the Earth,Your help can make a big difference.,18183.72,0.0,False,36,2025-04-16,2025-06-14,59
157bd312-d00c-404e-8418-8a75f660e698,Save the Earth,Raising funds for a great cause that will change lives.,98185.51,0.0,True,55,2025-04-16,2025-04-25,9
b5d807d8-18a7-4242-bdab-b41987a92191,Build a School,Join us to support those in need.,92574.69,0.0,True,33,2025-04-16,2025-06-26,71
daf9d9fd-6ecc-4830-89b6-a166a9b65461,Medical Aid,Together we can build a better future.,34329.56,0.0,True,38,2025-04-16,2025-05-05,19
8aa68ecb-7c5a-4d0d-bb7c-e9a0d28f531a,Save the Earth,Your help can make a big difference.,53208.27,0.0,False,36,2025-04-16,2025-07-10,85
e55c4660-8f21-42e7-9551-573677c9b94c,Save the Earth,Together we can build a better future.,50463.76,0.0,True,38,2025-04-16,2025-04-23,7
de57cdd4-7ec6-4dfe-8f43-680d68e097ad,Help the Kids,Together we can build a better future.,58383.37,0.0,True,38,2025-04-16,2025-06-25,70
8775381c-9da0-4850-b5da-0c880b2ce589,Animal Rescue,Join us to support those in need.,18085.86,0.0,True,33,2025-04-16,2025-06-20,65
6fed863a-398a-4aef-8b65-4624a944df3f,Clean Water Project,Every donation brings us closer to our goal.,34907.55,0.0,True,44,2025-04-16,2025-07-06,81
dcd679c3-5645-41b5-b5e8-4926289ee33b,Save the Earth,Support our mission to provide essential services.,93494.97,0.0,False,50,2025-04-16,2025-05-24,38
a6455e17-b79c-4db7-8013-c85ff5237cb5,Build a School,Support our mission to provide essential services.,40754.75,0.0,True,50,2025-04-16,2025-07-02,77
460ebae0-18a4-46be-968c-cce1b38d009f,Animal Rescue,Your help can make a big difference.,41174.72,0.0,False,36,2025-04-16,2025-07-07,82
534adf3f-623a-4e69-aeae-a0f6782a51ed,Medical Aid,Every donation brings us closer to our goal.,43893.67,0.0,True,44,2025-04-16,2025-05-23,37
292f3028-de07-49f7-98a1-4139a4a9a29e,Help the Kids,Your help can make a big difference.,9902.99,0.0,False,36,2025-04-16,2025-05-22,36
dd1718c0-3766-4579-b0f7-c9aa49b59b98,Help the Kids,Raising funds for a great cause that will change lives.,74334.68,0.0,True,55,2025-04-16,2025-07-07,82
8d89ad97-2d9f-498f-b9e5-4a8f88b217b7,Build a School,Every donation brings us closer to our goal.,82502.75,0.0,False,44,2025-04-16,2025-05-27,41
d38cb25b-3a5b-4582-adea-e414a45bca59,Animal Rescue,Together we can build a better future.,38147.11,0.0,True,38,2025-04-16,2025-05-01,15
